countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
AT,ATPG70326012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166154
AT,ATPG70326022,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166155
AT,ATPG70326042,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166156
AT,ATPG70326052,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166157
AT,ATPG70326062,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166158
AT,ATPG70326072,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166159
AT,ATPG70326082,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166160
AT,ATPG70326102,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166161
AT,ATPG70327012,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166162
AT,ATPG70327032,euMonitoringSiteCode,GW,CAS_127-18-4,Tetrachloroethylene,W,ug/L,2015,2015-01-01--2015-12-31,0.05113,1,1,1,0.05113,1,0.05113,1,0.05113,1,0.05113,,Other analytical method,-9999,A,EN ISO 10301:1998,http://cdr.eionet.europa.eu/at/eea/wise_soe/wise4/envwkv_yq/WISE-AT-GW-Quality-2015_V2_AggregatedData.xml,25:39.0,stable,A,11166163
