countryCode,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,parameterWaterBodyCategory,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,procedureAnalyticalMethod,parameterSampleDepth,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,UID
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_135-98-8,sec-butylbenzene,W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139597
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_139-40-2,Propazine,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139598
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_142-28-9,"1,3-dichloropropane",W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139599
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_14265-44-2,Phosphate,W,mg{P}/L,2014,2014-01-26--2014-11-27,0.00978,12,0,0,0.01305,0,0.04001,0,0.11089,0,0.03,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139600
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_14797-55-8,Nitrate,W,mg{NO3}/L,2014,2014-01-26--2014-11-27,0.44268,12,0,0,6.6402,0,8.42199,0,11.24407,0,7.99037,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139601
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_14797-65-0,Nitrite,W,mg{NO2}/L,2014,2014-01-26--2014-11-27,0.00657,12,0,0,0.02956,0,0.0416,0,0.07226,0,0.03777,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139602
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_14798-03-9,Ammonium,W,mg{NH4}/L,2014,2014-01-26--2014-11-27,0.02578,12,0,0,0.0348,0,0.08517,0,0.20621,0,0.07088,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139603
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_156-59-2,"cis-1,2-dichloroethene",W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139604
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_156-60-5,"trans-1,2-dichloroethene",W,ug/L,2014,2014-02-24--2014-11-17,0.1,6,6,1,0.1,1,0.1,1,0.1,1,0.1,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139605
CZ,CZPMO_3639,euMonitoringSiteCode,RW,CAS_1582-09-8,Trifluralin,W,ug/L,2014,2014-02-24--2014-11-17,0.005,6,6,1,0.005,1,0.005,1,0.005,1,0.005,,,0.2,A,CZCHMI_3639,http://cdr.eionet.europa.eu/cz/eea/wise_soe/wise4/envwkwjza/CZ_SW_2009_2015_WISE-SoE_WaterQuality._AggregatedData.xml,46:04.0,stable,A,11139606
